Attack.Databreach_Attack-Pattern,to be continue
Attack.Databreach_Attacker,to be continue
Attack.Databreach_Compromised-Data,to be continue
Attack.Databreach_Damage-Amount,to be continue
Attack.Databreach_Number-of-Data,to be continue
Attack.Databreach_Number-of-Victim,to be continue
Attack.Databreach_Place,to be continue
Attack.Databreach_Purpose,to be continue
Attack.Databreach_Time,to be continue
Attack.Databreach_Tool,to be continue
Attack.Databreach_Victim,to be continue
Attack.Phishing_Attack-Pattern,to be continue
Attack.Phishing_Attacker,to be continue
Attack.Phishing_Damage-Amount,to be continue
Attack.Phishing_Place,to be continue
Attack.Phishing_Purpose,to be continue
Attack.Phishing_Time,to be continue
Attack.Phishing_Tool,to be continue
Attack.Phishing_Trusted-Entity,to be continue
Attack.Phishing_Victim,to be continue
Attack.Ransom_Attack-Pattern,to be continue
Attack.Ransom_Attacker,to be continue
Attack.Ransom_Damage-Amount,to be continue
Attack.Ransom_Payment-Method,to be continue
Attack.Ransom_Place,to be continue
Attack.Ransom_Price,to be continue
Attack.Ransom_Time,to be continue
Attack.Ransom_Tool,to be continue
Attack.Ransom_Victim,to be continue
Vulnerability-related.DiscoverVulnerability_CVE,to be continue
Vulnerability-related.DiscoverVulnerability_Capabilities,to be continue
Vulnerability-related.DiscoverVulnerability_Discoverer,to be continue
Vulnerability-related.DiscoverVulnerability_Supported_Platform,to be continue
Vulnerability-related.DiscoverVulnerability_Time,to be continue
Vulnerability-related.DiscoverVulnerability_Vulnerability,to be continue
Vulnerability-related.DiscoverVulnerability_Vulnerable_System,to be continue
Vulnerability-related.DiscoverVulnerability_Vulnerable_System_Owner,to be continue
Vulnerability-related.DiscoverVulnerability_Vulnerable_System_Version,to be continue
Vulnerability-related.PatchVulnerability_CVE,to be continue
Vulnerability-related.PatchVulnerability_Issues-Addressed,to be continue
Vulnerability-related.PatchVulnerability_Patch,to be continue
Vulnerability-related.PatchVulnerability_Patch-Number,to be continue
Vulnerability-related.PatchVulnerability_Releaser,to be continue
Vulnerability-related.PatchVulnerability_Supported_Platform,to be continue
Vulnerability-related.PatchVulnerability_Time,to be continue
Vulnerability-related.PatchVulnerability_Vulnerability,to be continue
Vulnerability-related.PatchVulnerability_Vulnerable_System,to be continue
Vulnerability-related.PatchVulnerability_Vulnerable_System_Version,to be continue
