Adverse.event_Combination_Drug,to be continue
Adverse.event_Effect,to be continue
Adverse.event_Subject,to be continue
Adverse.event_Subject_Age,to be continue
Adverse.event_Subject_Disorder,to be continue
Adverse.event_Subject_Gender,to be continue
Adverse.event_Subject_Population,to be continue
Adverse.event_Subject_Race,to be continue
Adverse.event_Treatment,to be continue
Adverse.event_Treatment_Disorder,to be continue
Adverse.event_Treatment_Dosage,to be continue
Adverse.event_Treatment_Drug,to be continue
Adverse.event_Treatment_Duration,to be continue
Adverse.event_Treatment_Freq,to be continue
Adverse.event_Treatment_Route,to be continue
Adverse.event_Treatment_Time_elapsed,to be continue
Potential.therapeutic.event_Combination_Drug,to be continue
Potential.therapeutic.event_Effect,to be continue
Potential.therapeutic.event_Subject,to be continue
Potential.therapeutic.event_Subject_Age,to be continue
Potential.therapeutic.event_Subject_Disorder,to be continue
Potential.therapeutic.event_Subject_Gender,to be continue
Potential.therapeutic.event_Subject_Population,to be continue
Potential.therapeutic.event_Subject_Race,to be continue
Potential.therapeutic.event_Treatment,to be continue
Potential.therapeutic.event_Treatment_Disorder,to be continue
Potential.therapeutic.event_Treatment_Dosage,to be continue
Potential.therapeutic.event_Treatment_Drug,to be continue
Potential.therapeutic.event_Treatment_Duration,to be continue
Potential.therapeutic.event_Treatment_Freq,to be continue
Potential.therapeutic.event_Treatment_Route,to be continue
Potential.therapeutic.event_Treatment_Time_elapsed,to be continue
