Business.Declare-Bankruptcy_Org,What declare bankruptcy?
Business.End-Org_Org,What is ended?
Business.End-Org_Place,Where the event takes place?
Business.Merge-Org_Org,What is merged?
Business.Start-Org_Agent,Who is the founder?
Business.Start-Org_Org,What is started?
Business.Start-Org_Place,Where the event takes place?
Conflict.Attack_Attacker,Who is the attacking agent?
Conflict.Attack_Instrument,What is the instrument used?
Conflict.Attack_Place,Where the attack takes place?
Conflict.Attack_Target,Who is the target?
Conflict.Demonstrate_Entity,Who is demonstrating agent?
Conflict.Demonstrate_Place,Where the demonstrating takes place?
Contact.Broadcast_Audience,Who is the audience?
Contact.Broadcast_Entity,Who is broadcasting?
Contact.Broadcast_Place,Where the demonstrating takes place?
Contact.Contact_Entity,Who is contacting?
Contact.Contact_Place,Where the event takes place?
Contact.Correspondence_Entity,Who is corresponding?
Contact.Correspondence_Place,Where the event takes place?
Contact.Meet_Entity,Who is meeting?
Contact.Meet_Place,Where the event takes place?
Justice.Acquit_Adjudicator,What is the judge?
Justice.Acquit_Defendant,Who is the defendant?
Justice.Acquit_Place,Where the acquittal takes place?
Justice.Appeal_Adjudicator,What is the judge?
Justice.Appeal_Defendant,Who is the defendant?
Justice.Appeal_Place,Where the appeal takes place?
Justice.Appeal_Prosecutor,What is the prosecutor?
Justice.Arrest-Jail_Agent,Who is the jailor?
Justice.Arrest-Jail_Person,Who is jailed?
Justice.Arrest-Jail_Place,Where the event takes place?
Justice.Charge-Indict_Adjudicator,What is the judge?
Justice.Charge-Indict_Defendant,Who is the defendant?
Justice.Charge-Indict_Place,Where the event takes place?
Justice.Charge-Indict_Prosecutor,Who is the prosecuting agent?
Justice.Convict_Adjudicator,What is the judge?
Justice.Convict_Defendant,Who is the defendant?
Justice.Convict_Place,Where the event takes place?
Justice.Execute_Agent,Who carry out the execution?
Justice.Execute_Person,Who was executed?
Justice.Execute_Place,Where the execution takes place?
Justice.Extradite_Agent,What is the extraditing agent?
Justice.Extradite_Destination,Where the person is extradited to?
Justice.Extradite_Origin,What is original location of the person being extradited?
Justice.Extradite_Person,Who is the person being extradited?
Justice.Fine_Adjudicator,What is the judge?
Justice.Fine_Entity,What is fined?
Justice.Fine_Place,Where the event takes place?
Justice.Pardon_Adjudicator,What is the judge?
Justice.Pardon_Defendant,Who is the defendant?
Justice.Pardon_Place,Where the event takes place?
Justice.Release-Parole_Agent,Who will do the release?
Justice.Release-Parole_Person,Who is released?
Justice.Release-Parole_Place,Where the event takes place?
Justice.Sentence_Adjudicator,What is the judge?
Justice.Sentence_Defendant,Who is the defendant?
Justice.Sentence_Place,Where the event takes place?
Justice.Sue_Adjudicator,What is the judge?
Justice.Sue_Defendant,Who is the defendant?
Justice.Sue_Place,Where the event takes place?
Justice.Sue_Plaintiff,What is the plaintiff?
Justice.Trial-Hearing_Adjudicator,What is the judge?
Justice.Trial-Hearing_Defendant,Who is the defendant?
Justice.Trial-Hearing_Place,Where the event takes place?
Justice.Trial-Hearing_Prosecutor,Who is the prosecuting agent?
Life.Be-Born_Person,Who is born?
Life.Be-Born_Place,Where the event takes place?
Life.Die_Agent,Who is the killer?
Life.Die_Instrument,What is the instrument used?
Life.Die_Place,Where the event takes place?
Life.Die_Victim,Who died?
Life.Divorce_Person,Who are divorced?
Life.Divorce_Place,Where the event takes place?
Life.Injure_Agent,Who is the attacking agent?
Life.Injure_Instrument,What is the instrument used?
Life.Injure_Place,Where the event takes place?
Life.Injure_Victim,Who is victim?
Life.Marry_Person,Who are married?
Life.Marry_Place,Where the event takes place?
Manufacture.Artifact_Artifact,What is the artifact?
Manufacture.Artifact_Agent,Who is the manufacturer?
Manufacture.Artifact_Place,Where the event takes place?
Movement.Transport-Artifact_Agent,Who is responsible for the transport event?
Movement.Transport-Artifact_Artifact,What is being transported?
Movement.Transport-Artifact_Destination,Where the transporting is directed?
Movement.Transport-Artifact_Origin,Where the transporting originated?
Movement.Transport-Person_Agent,Who is responsible for the transport event?
Movement.Transport-Person_Instrument,What is the instrument?
Movement.Transport-Person_Destination,Where the transporting is directed?
Movement.Transport-Person_Origin,Where the transporting originated?
Movement.Transport-Person_Person,Who is being transported?
Personnel.Elect_Agent,Who voted?
Personnel.Elect_Person,Who is elected?
Personnel.Elect_Place,Where the event takes place?
Personnel.End-Position_Entity,Who is the employer?
Personnel.End-Position_Person,Who is the employee?
Personnel.End-Position_Place,Where the event takes place?
Personnel.Nominate_Agent,Who is the nominating agent?
Personnel.Nominate_Person,Who is nominated?
Personnel.Nominate_Place,Where the nomination takes place?
Personnel.Start-Position_Entity,Who is the employer?
Personnel.Start-Position_Person,Who is the employee?
Personnel.Start-Position_Place,Where the event takes place?
Transaction.Transaction_Beneficiary,Who benefits from the transfer?
Transaction.Transaction_Giver,Who is the giver?
Transaction.Transaction_Place,Where the event takes place?
Transaction.Transaction_Recipient,Who is the recipient?
Transaction.Transfer-Money_Beneficiary,Who benefits from the transfer?
Transaction.Transfer-Money_Giver,Who is the donating agent?
Transaction.Transfer-Money_Place,Where the event takes place?
Transaction.Transfer-Money_Recipient,Who is the recipient?
Transaction.Transfer-Ownership_Beneficiary,Who benefits from the transaction?
Transaction.Transfer-Ownership_Giver,Who is the giver?
Transaction.Transfer-Ownership_Place,Where the event takes place?
Transaction.Transfer-Ownership_Recipient,Who is the recipient?
Transaction.Transfer-Ownership_Thing,What was bought?
