Achieve:prompt start, Agent ( and Agent ) Goal ( and Goal ) Means ( and Means )  ,end 
Action:prompt start, Act ( and Act ) Agent ( and Agent ) Domain ( and Domain ) Manner ( and Manner )  ,end 
Adducing:prompt start, Medium ( and Medium ) Role ( and Role ) Speaker ( and Speaker ) Specified_entity ( and Specified_entity )  ,end 
Agree.or.refuse.to.act:prompt start, Proposed_action ( and Proposed_action ) Speaker ( and Speaker )  ,end 
Arranging:prompt start, Agent ( and Agent ) Configuration ( and Configuration ) Location ( and Location ) Theme ( and Theme )  ,end 
Arrest:prompt start, Authorities ( and Authorities ) Charges ( and Charges ) Offense ( and Offense ) Suspect ( and Suspect )  ,end 
Arriving:prompt start, Goal ( and Goal ) Means ( and Means ) Path ( and Path ) Place ( and Place ) Purpose ( and Purpose ) Source ( and Source ) Theme ( and Theme )  ,end 
Assistance:prompt start, Benefited_party ( and Benefited_party ) Focal_entity ( and Focal_entity ) Goal ( and Goal ) Helper ( and Helper ) Means ( and Means )  ,end 
Attack:prompt start, Assailant ( and Assailant ) Means ( and Means ) Victim ( and Victim ) Weapon ( and Weapon )  ,end 
Bearing.arms:prompt start, Protagonist ( and Protagonist ) Weapon ( and Weapon )  ,end 
Becoming:prompt start, Entity ( and Entity ) Final_category ( and Final_category ) Final_quality ( and Final_quality )  ,end 
Becoming.a.member:prompt start, Group ( and Group ) New_member ( and New_member )  ,end 
Bodily.harm:prompt start, Agent ( and Agent ) Body_part ( and Body_part ) Cause ( and Cause ) Instrument ( and Instrument ) Victim ( and Victim )  ,end 
Bringing:prompt start, Agent ( and Agent ) Area ( and Area ) Carrier ( and Carrier ) Goal ( and Goal ) Source ( and Source ) Theme ( and Theme )  ,end 
Building:prompt start, Agent ( and Agent ) Components ( and Components ) Created_entity ( and Created_entity ) Place ( and Place )  ,end 
Catastrophe:prompt start, Cause ( and Cause ) Patient ( and Patient ) Place ( and Place ) Undesirable_event ( and Undesirable_event )  ,end 
Causation:prompt start, Actor ( and Actor ) Affected ( and Affected ) Cause ( and Cause ) Effect ( and Effect ) Means ( and Means )  ,end 
Cause.change.of.position.on.a.scale:prompt start, Agent ( and Agent ) Attribute ( and Attribute ) Cause ( and Cause ) Difference ( and Difference ) Item ( and Item ) Value_1 ( and Value_1 ) Value_2 ( and Value_2 )  ,end 
